rank,name,login,contributions,company,organizations
83,SUDIP MONDAL,sudip-mondal-2002,1861,Mando,"collective,campus-experts,EddieHubCommunity,Design-and-Code,IITM-Sports,neendsleep,Coders-Evoke-Community,WarriorWhoCodes,WebXDAO,Bauddhik-Geeks,Logistics-Lab,PFYCS,GitHub-Campus-IITM,gce-india,cyboholics,MandoHQ,Horizon-GDSCxIITM"
84,Arya Shah,aryashah2k,1849,@openAOD,"collective,fossasia,NVIDIAGameWorks,coala,jazzband,TheAlgorithms,Database-Genius,fnplus,Recyclero,zero-to-mastery,One-Language,buffetplate,github-craftwork,fruitandveg,slurpcode,gatsbyg,Tech-Phantoms,EddieHubCommunity,qxresearch,cloudcommunity,koolruby,DonyaOS,Uncodedtech,Py-Contributors,BrisGo,BrisRust,rubytart,RoquesBeach,railsdudes,LosRoques,lispXXX,openAOD,rubypi,pinkpom,Design-and-Code,OmegaMath,WarriorWhoCodes,tinderzone,Jaidevstudio,CommunityPro,ZS-DCE"
85,Sharath Kumar,sharu725,1845,webjeda,
86,Param Aggarwal,paramaggarwal,1841,,
87,Piyush Garg,piyushgarg-dev,1840,,
88,Satyam Kumar Navneet,Satyamkumarnavneet,1808,Chegg,
89,Anoop M D,helloanoop,1808,,"grafnode,byte-42"
90,Ayush Soni,ayushsoni1010,1798,@go2work-App @fastn-stack @FifthTry @magicdotapp @economizecloud @hekors,"gita,Tech-Phantoms,EddieHubCommunity,Py-Contributors,DesignSystemsOSS,Coders-Evoke-Community,Jaidevstudio,spendify-io"
91,James George,jamesgeorge007,1794,@hoppscotch,"collective,webpack,opensourcedesign,fossasia,cssinjs,dwyl,gridsome,verdaccio,storybookjs,webpack-contrib,Cybros,Recyclero,Asiatik,yogdaan,docsifyjs,madlabsinc,mad-hacks,teamxenox,react-native-elements,unoplatform,hoppscotch,keralavue"
92,Tech VJ,VJBots,1774,Tech VJ,
93,Dhruv Manilawala,dhruvmanila,1751,@astral-sh,"TheAlgorithms,astral-sh"
94,Soumik Rakshit,soumik12345,1750,@wandb,Koderunners
95,Hitesh Kumar Saini,alexmercerind,1722,,"bluecherrydvr,enviroCar,team-flobiz,harmonoid,Vanilla-OS,media-kit"
96,Dinesh Talwadker,dinxsh,1678,@toornify,"hackclub,EddieHubCommunity,cloudcommunity,Py-Contributors,recodehive,WebXDAO,Bauddhik-Geeks,Magic-Academy,infraform,AccessibleForAll,outfitapp,43labs,nov8devs,mywanderlustapp,toornify,GSSoC24,thedevelopmentguild"
97,Tummala Dhanvi,dhanvi,1673,,"fossasia,ctfs,amfoss,belongco,thinkfoss,Nationstar"
98,Harshil Shah,HarshilShah,1650,,
99,Prashant Jain,omprashantjain,1628,@KnowledgeGateCoding @KG-Coding-with-Prashant-Sir ,
100,Deepak Sharma,Deepaksharma-39,1617,@TechPlek-Technologies,
101,Lakshya Duhoon,LakshyaDuhoonISU,1600,,
102,Sreeraj,s-r-e-e-r-a-j,1599,,
103,Shiva,ShivaBhattacharjee,1575,,
104,Vishwa Gaurav,VishwaGauravIn,1568,,
105,Ayush Sharma,ayushsharma82,1567,Softt @softt-io,
106,Avinash Ranjan,avinashkranjan,1548,@wapinfotech @one24store @TheOpenCode @dscciem,"collective,fossasia,NVIDIAGameWorks,codezoned,TheOpenCode,HAC-2020,dscciem,IEMA-Research-Development-Pvt-Ltd,one24store,One24store-com,curiomind-e-learning,Phoenix-Reincarnated,Falcon-Security,Ent-House,wapinfotech"
107,Om  Patil,omsandippatil,1532,,pillaites
108,Mohd Danish,mddanishyusuf,1531,,
109,Ameer Jhan,ameerthehacker,1527,@SimpleDataLabsInc,"jsrealm,brahmosjs,product-ride"
110,Nemo,captn3m0,1514,,"sdslabs,recursecenter,SyntaxError2013,asm-products,gliderlabs,hillhacks,GitHubBounty,hackercouch,InfoSecIITR,rfcswelove,speakforme,kaarana,sarkar-icu,endoflife-date,hginit,just-the-docs,PuzzledPintBLR,librefin-in"
111,Jayant Goel,JayantGoel001,1490,@Swiggy @PublicisSapient @TalentDecrypt @Theatron,"collective,hackclub,fossasia,EpicGames,NVIDIAGameWorks,iiitv,dwyl,jazzband,john-bampton,Database-Genius,fnplus,apachecn,SwissAngular,Recyclero,thank-you-php,zero-to-mastery,pico-8,risk-first,firstcontributions,yogdaan,One-Language,codezoned,Coding-Coach,doocs,stormsinbrewing,dev-protocol,squarestack,github-craftwork,An-Eye,Chinuon,slurpcode,gatsbyg,Tech-Phantoms,CodeTrophs,akshitagit,letskhabar,EddieHubCommunity,MakeContributions,jobream,qxresearch,def-zone,cloudcommunity,DonyaOS,Uncodedtech,Py-Contributors,CodXCrypt,CodeAvailable,POSSF,CSwala,BrisGo,BrisRust,rubytart,RoquesBeach,SurPathHub,railsdudes,LosRoques,Alphasians,TirtharajSinhaDevCommunity,EquiCode,chryz-hub,lispXXX,openAOD,BITDurg-git,https-github-com-Kushal997-das,rubypi,pinkpom,devstrons,Design-and-Code,OmegaMath,Coders-Evoke-Community,UdacityScholars,64-shades,WarriorWhoCodes,NextCommunity,ZeroOctave,CURAJ-Open-Source-Community,BlackTimber-Labs,CodingContributorsLair,App-Choreography,The-CODE-Plus-Plus-Community,tinderzone,OpInCo-Community,Jaidevstudio,Eaglion-Programmers,WebXDAO,Bauddhik-Geeks,Robotics-Club-BMU,websycode,OldCodersClub,GitHub-Campus-IITM,DroidDump,LearnWithCommunity,CommunityPro,Magic-Academy,Devs-Dungeon,InnateComm,Intel-Student-Ambassadors,Keymeta-Networks,devs-in-tech,Huniko-Team"
112,Magesh,tkmagesh,1477,Craftsman Systems,
113,Deepak Raj,codeperfectplus,1470,@SystemGuard-official,"collective,DevvitIO,risk-first,dev-protocol,slurpcode,Tech-Phantoms,cloudcommunity,codeDroid1,Py-Contributors,Alphasians,Design-and-Code,64-shades,NextCommunity,WebXDAO,CommunityPro,Magic-Academy,Devs-Dungeon"
114,Aritra Roy,aritraroy,1466,,
115,Anubhav Chaturvedi,AnubhavChaturvedi-GitHub,1464,,
116,Anubhav Singh,xprilion,1451,Building @callchimp ,"tfugindia,gdgcloudindia,callchimp,gdgcloudkol"
117,Divyansh Singh,brc-dd,1449,,"vuejs,globalbrain,mdit-vue"
118,Anant Shrivastava,anantshri,1420,InfoSec Professional,"null-open-security-community,CodeVigilant,TamerPlatform"
119,Sudhanshu Mishra,debugger22,1418,@komorebitech,"sympy,BinPy,bitsg,komorebitech"
120,Karan Sharma,mr-karan,1411,@zerodha ,"ACM-SNU,zerodha"
121,Somdev Sangwan,s0md3v,1403,,
122,Akhil Narang,akhilnarang,1385,@frappe ,frappe
123,Shyam Tawli,shyamtawli,1365,,
124,Abhishvek Chavhan,abhishh1,1363,superwrapper.in,
125,Nitin Kumar,snitin315,1349," @webpack @eslint @razorpay","collective,webpack,fossasia,razorpay,NVIDIAGameWorks,OpnTec,loklak,opencollective,webpack-contrib,risk-first,layer5io,github-craftwork,course-predator,EddieHubCommunity,Design-and-Code,Jaidevstudio"
126,Kushagra Gour,chinchang,1343,CSSBattle,getYourMentor-org
127,MAZHAR,MAZHARMIK,1341,SDE-III @ Expedia,
128,Ritesh Kumar,ritz078,1330,@PSPDFKit ,transform-it
129,Rejah Rehim ,rejahrehim,1325,@beaglesecurity @appfabs ,"jenkinsci,OWASP,KSUMFutureLab,appfabs,su-trivandrum,securetea,beaglesecurity,BreathOfHope,gtechatfg,kp-grapnel"
130,Rucha Mahabal,ruchamahabal,1319,@frappe,frappe
131,Fayaz Ahmed,fayazara,1311,,
132,Sai Krishna,saikrishna321,1301,@LambdaTest,"appium,getgauge,MobileHacks,AppiumTestDistribution"
133,Subin Siby,subins2000,1297,"@bigbinary, @smc","smc,varnamproject,LobbyOS,FOSSersVAST,KochiFOSS"
134,Ishan Sharma,ishandeveloper,1286,HackerRank @interviewstreet,"collective,interviewstreet,NVIDIAGameWorks,iiitv,fnplus,Recyclero,DSC-ChitkaraUniv,Flutter-India,Chitkara-devs,EddieHubCommunity,flutterchennai,flutterchandigarh,Diversity-In-DSC"
135,Akshay Rajput,TheHamkerCat,1268,Doofenshmirtz Evil Inc.,
136,Sushant Kumar,sushantkr961,1266,Pantheon Digital,
137,Sukeesh,sukeesh,1259,Sema4.ai,
138,Subhrajyoti Sen,SubhrajyotiSen,1258,@keeptruckin,NixOS
139,Kamal Raj Kanakarajan,kamalkraj,1258,@saamaresearch ,
140,Prasenjit Nayak,StarKnightt,1251,,"EddieHubCommunity,AlgoManiacZ,WebXDAO,AccessibleForAll"
141,Ayush Singh,ayush-that,1228,,
142,Shabinder Singh,Shabinder,1227,? (Looking for new suitable oppurtunities...),
143,Pragati Verma,PragatiVerma18,1226,,"fossasia,NJACKWinterOfCode,AdobeDocs,CircuitVerse,phoenix-jss,Open-Source-Contributors-JSS,bellatrixdatacommunity,MLH-Fellowship"
144,Shekhar Gulati,shekhargulati,1224,,
